eval_type,task_id,requirement,dataset_pass,dataset_fail,timestamp
mbpp,1,"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",0,3,2025-05-04 00:33:00.258978
mbpp,2,Write a function to find the similar elements from the given two tuple lists.,0,3,2025-05-04 00:33:03.646776
mbpp,3,Write a python function to identify non-prime numbers.,0,3,2025-05-04 00:33:07.017964
mbpp,4,Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,0,3,2025-05-04 00:33:10.335948
mbpp,5,Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,0,3,2025-05-04 00:33:12.860914
mbpp,6,Write a python function to check whether the two numbers differ at one bit position only or not.,0,3,2025-05-04 00:33:15.282221
mbpp,7,Write a function to find all words which are at least 4 characters long in a string by using regex.,0,3,2025-05-04 00:33:18.398798
mbpp,8,Write a function to find squares of individual elements in a list using lambda function.,0,3,2025-05-04 00:33:56.416070
mbpp,9,Write a python function to find the minimum number of rotations required to get the same string.,0,3,2025-05-04 00:33:58.450816
mbpp,10,Write a function to get the n smallest items from a dataset.,0,3,2025-05-04 00:34:02.700939
mbpp,1,"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",3,0,2025-05-04 00:49:21.861349
mbpp,2,Write a function to find the similar elements from the given two tuple lists.,0,3,2025-05-04 00:49:25.055288
mbpp,3,Write a python function to identify non-prime numbers.,0,3,2025-05-04 00:49:28.156566
mbpp,4,Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,3,0,2025-05-04 00:49:30.947295
mbpp,5,Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,1,2,2025-05-04 00:49:33.619241
mbpp,6,Write a python function to check whether the two numbers differ at one bit position only or not.,3,0,2025-05-04 00:49:37.203305
mbpp,7,Write a function to find all words which are at least 4 characters long in a string by using regex.,3,0,2025-05-04 00:49:40.516744
mbpp,8,Write a function to find squares of individual elements in a list using lambda function.,3,0,2025-05-04 00:50:19.665447
mbpp,9,Write a python function to find the minimum number of rotations required to get the same string.,3,0,2025-05-04 00:50:23.229238
mbpp,10,Write a function to get the n smallest items from a dataset.,3,0,2025-05-04 00:50:27.362764
mbpp,1,"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",3,0,2025-05-04 00:55:52.240934
mbpp,2,Write a function to find the similar elements from the given two tuple lists.,0,3,2025-05-04 00:55:55.116741
mbpp,3,Write a python function to identify non-prime numbers.,0,3,2025-05-04 00:55:58.668847
mbpp,4,Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,3,0,2025-05-04 00:56:02.376174
mbpp,5,Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,3,0,2025-05-04 00:56:04.880574
mbpp,6,Write a python function to check whether the two numbers differ at one bit position only or not.,3,0,2025-05-04 00:56:07.097317
mbpp,7,Write a function to find all words which are at least 4 characters long in a string by using regex.,3,0,2025-05-04 00:56:10.298291
mbpp,8,Write a function to find squares of individual elements in a list using lambda function.,3,0,2025-05-04 00:56:46.629302
mbpp,9,Write a python function to find the minimum number of rotations required to get the same string.,3,0,2025-05-04 00:56:53.747727
mbpp,10,Write a function to get the n smallest items from a dataset.,3,0,2025-05-04 00:56:58.041979
mbpp,1,"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",3,0,2025-05-04 00:58:33.072450
mbpp,2,Write a function to find the similar elements from the given two tuple lists.,0,3,2025-05-04 00:58:36.375473
mbpp,3,Write a python function to identify non-prime numbers.,0,3,2025-05-04 00:58:39.657939
mbpp,4,Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,3,0,2025-05-04 00:58:50.921682
mbpp,5,Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,3,0,2025-05-04 00:58:55.218882
mbpp,6,Write a python function to check whether the two numbers differ at one bit position only or not.,3,0,2025-05-04 00:59:17.763589
mbpp,7,Write a function to find all words which are at least 4 characters long in a string by using regex.,3,0,2025-05-04 00:59:22.211022
mbpp,8,Write a function to find squares of individual elements in a list using lambda function.,3,0,2025-05-04 00:59:30.010955
mbpp,9,Write a python function to find the minimum number of rotations required to get the same string.,3,0,2025-05-04 00:59:34.396284
mbpp,10,Write a function to get the n smallest items from a dataset.,3,0,2025-05-04 00:59:38.141585
